district,week,year,cases
Kandy,13,2020,23
Kegalle,13,2020,4
Kilinochchi,13,2020,0
Kurunegala,13,2020,1
Mannar,13,2020,0
Matale,13,2020,1
Matara,13,2020,11
Monaragala,13,2020,0
Mullaitivu,13,2020,1
Nuwara Eliya,13,2020,0
Polonnaruwa,13,2020,0
Puttalam,13,2020,0
Ratnapura,13,2020,22
Trincomalee,13,2020,24
Vavuniya,13,2020,0
Ampara,14,2020,0
Anuradhapura,14,2020,0
Badulla,14,2020,5
Batticaloa,14,2020,22
Colombo,14,2020,6
Galle,14,2020,0
Gampaha,14,2020,18
Hambantota,14,2020,0
Jaffna,14,2020,5
Kalmunai,14,2020,0
Kalutara,14,2020,0
Kandy,14,2020,5
Kegalle,14,2020,17
Kilinochchi,14,2020,0
Kurunegala,14,2020,0
Mannar,14,2020,0
Matale,14,2020,1
Matara,14,2020,0
Monaragala,14,2020,0
Mullaitivu,14,2020,0
Nuwara Eliya,14,2020,0
Polonnaruwa,14,2020,0
Puttalam,14,2020,0
Ratnapura,14,2020,3
Trincomalee,14,2020,11
Vavuniya,14,2020,0
Ampara,15,2020,0
Anuradhapura,15,2020,2
Badulla,15,2020,1
Batticaloa,15,2020,20
Colombo,15,2020,8
Galle,15,2020,0
Gampaha,15,2020,10
Hambantota,15,2020,0
Jaffna,15,2020,2
Kalmunai,15,2020,0
Kalutara,15,2020,0
Kandy,15,2020,15
Kegalle,15,2020,3
Kilinochchi,15,2020,0
Kurunegala,15,2020,2
Mannar,15,2020,0
Matale,15,2020,3
Matara,15,2020,1
Monaragala,15,2020,0
Mullaitivu,15,2020,0
Nuwara Eliya,15,2020,0
Polonnaruwa,15,2020,0
Puttalam,15,2020,0
Ratnapura,15,2020,4
Trincomalee,15,2020,10
Vavuniya,15,2020,0
Ampara,16,2020,0
Anuradhapura,16,2020,0
Badulla,16,2020,1
Batticaloa,16,2020,26
Colombo,16,2020,9
Galle,16,2020,27
Gampaha,16,2020,8
Hambantota,16,2020,3
Jaffna,16,2020,0
Kalmunai,16,2020,0
Kalutara,16,2020,0
Kandy,16,2020,20
Kegalle,16,2020,3
Kilinochchi,16,2020,0
Kurunegala,16,2020,0
Mannar,16,2020,0
Matale,16,2020,2
Matara,16,2020,6
Monaragala,16,2020,0
Mullaitivu,16,2020,0
Nuwara Eliya,16,2020,0
Polonnaruwa,16,2020,1
Puttalam,16,2020,0
Ratnapura,16,2020,13
Trincomalee,16,2020,6
Vavuniya,16,2020,0
Ampara,17,2020,0
Anuradhapura,17,2020,1
Badulla,17,2020,1
Batticaloa,17,2020,17
Colombo,17,2020,7
Galle,17,2020,13
Gampaha,17,2020,9
Hambantota,17,2020,1
Jaffna,17,2020,0
Kalmunai,17,2020,0
Kalutara,17,2020,0
Kandy,17,2020,20
Kegalle,17,2020,12
Kilinochchi,17,2020,0
Kurunegala,17,2020,1
Mannar,17,2020,0
Matale,17,2020,1
Matara,17,2020,4
Monaragala,17,2020,0
Mullaitivu,17,2020,0
Nuwara Eliya,17,2020,0
Polonnaruwa,17,2020,0
Puttalam,17,2020,0
Ratnapura,17,2020,27
Trincomalee,17,2020,2
Vavuniya,17,2020,0
Ampara,18,2020,0
Anuradhapura,18,2020,1
Badulla,18,2020,2
Batticaloa,18,2020,22
Colombo,18,2020,17
Galle,18,2020,34
Gampaha,18,2020,12
Hambantota,18,2020,4
Jaffna,18,2020,5
Kalmunai,18,2020,0
Kalutara,18,2020,0
Kandy,18,2020,35
Kegalle,18,2020,11
Kilinochchi,18,2020,0
Kurunegala,18,2020,0
Mannar,18,2020,0
Matale,18,2020,5
Matara,18,2020,5
Monaragala,18,2020,0
Mullaitivu,18,2020,0
Nuwara Eliya,18,2020,0
Polonnaruwa,18,2020,0
Puttalam,18,2020,0
Ratnapura,18,2020,17
Trincomalee,18,2020,2
Vavuniya,18,2020,2
Ampara,19,2020,0
Anuradhapura,19,2020,3
Badulla,19,2020,1
Batticaloa,19,2020,17
Colombo,19,2020,29
Galle,19,2020,50
Gampaha,19,2020,13
Hambantota,19,2020,2
Jaffna,19,2020,10
Kalmunai,19,2020,0
Kalutara,19,2020,0
Kandy,19,2020,54
Kegalle,19,2020,14
Kilinochchi,19,2020,1
Kurunegala,19,2020,1
Mannar,19,2020,1
Matale,19,2020,5
Matara,19,2020,7
Monaragala,19,2020,0
Mullaitivu,19,2020,0
Nuwara Eliya,19,2020,2
Polonnaruwa,19,2020,1
Puttalam,19,2020,0
Ratnapura,19,2020,39
Trincomalee,19,2020,4
Vavuniya,19,2020,0
Ampara,20,2020,1
Anuradhapura,20,2020,2
Badulla,20,2020,2
Batticaloa,20,2020,16
Colombo,20,2020,50
Galle,20,2020,49
Gampaha,20,2020,16
Hambantota,20,2020,2
Jaffna,20,2020,12
Kalmunai,20,2020,0
Kalutara,20,2020,0
Kandy,20,2020,51
Kegalle,20,2020,17
Kilinochchi,20,2020,0
Kurunegala,20,2020,8
Mannar,20,2020,0
Matale,20,2020,6
Matara,20,2020,3
Monaragala,20,2020,0
Mullaitivu,20,2020,0
Nuwara Eliya,20,2020,1
Polonnaruwa,20,2020,1
Puttalam,20,2020,0
Ratnapura,20,2020,30
Trincomalee,20,2020,12
Vavuniya,20,2020,0
Ampara,21,2020,2
Anuradhapura,21,2020,4
Badulla,21,2020,3
Batticaloa,21,2020,16
Colombo,21,2020,126
Galle,21,2020,63
Gampaha,21,2020,36
Hambantota,21,2020,1
Jaffna,21,2020,29
Kalmunai,21,2020,0
Kalutara,21,2020,0
Kandy,21,2020,68
Kegalle,21,2020,30
Kilinochchi,21,2020,0
Kurunegala,21,2020,4
Mannar,21,2020,0
Matale,21,2020,3
Matara,21,2020,7
Monaragala,21,2020,0
Mullaitivu,21,2020,1
Nuwara Eliya,21,2020,0
Polonnaruwa,21,2020,0
Puttalam,21,2020,0
Ratnapura,21,2020,85
Trincomalee,21,2020,8
Vavuniya,21,2020,0
Ampara,22,2020,0
Anuradhapura,22,2020,8
Badulla,22,2020,2
Batticaloa,22,2020,9
Colombo,22,2020,92
Galle,22,2020,40
Gampaha,22,2020,32
Hambantota,22,2020,1
Jaffna,22,2020,25
Kalmunai,22,2020,0
Kalutara,22,2020,0
Kandy,22,2020,97
Kegalle,22,2020,22
Kilinochchi,22,2020,0
Kurunegala,22,2020,5
Mannar,22,2020,1
Matale,22,2020,7
Matara,22,2020,13
Monaragala,22,2020,0
Mullaitivu,22,2020,2
Nuwara Eliya,22,2020,4
Polonnaruwa,22,2020,0
Puttalam,22,2020,0
Ratnapura,22,2020,98
Trincomalee,22,2020,8
Vavuniya,22,2020,0
Ampara,23,2020,3
Anuradhapura,23,2020,4
Badulla,23,2020,3
Batticaloa,23,2020,17
Colombo,23,2020,101
Galle,23,2020,55
Gampaha,23,2020,57
Hambantota,23,2020,1
Jaffna,23,2020,14
Kalmunai,23,2020,0
Kalutara,23,2020,0
Kandy,23,2020,124
Kegalle,23,2020,17
Kilinochchi,23,2020,3
Kurunegala,23,2020,10
Mannar,23,2020,0
Matale,23,2020,6
Matara,23,2020,15
Monaragala,23,2020,0
Mullaitivu,23,2020,1
Nuwara Eliya,23,2020,2
Polonnaruwa,23,2020,0
Puttalam,23,2020,0
Ratnapura,23,2020,88
Trincomalee,23,2020,9
Vavuniya,23,2020,0
Ampara,24,2020,3
Anuradhapura,24,2020,1
Badulla,24,2020,9
Batticaloa,24,2020,13
Colombo,24,2020,101
Galle,24,2020,41
Gampaha,24,2020,52
Hambantota,24,2020,6
Jaffna,24,2020,19
Kalmunai,24,2020,0
Kalutara,24,2020,0
Kandy,24,2020,121
Kegalle,24,2020,12
Kilinochchi,24,2020,2
Kurunegala,24,2020,19
Mannar,24,2020,0
Matale,24,2020,11
Matara,24,2020,13
Monaragala,24,2020,0
Mullaitivu,24,2020,1
Nuwara Eliya,24,2020,3
Polonnaruwa,24,2020,0
Puttalam,24,2020,0
Ratnapura,24,2020,67
Trincomalee,24,2020,3
Vavuniya,24,2020,0
Ampara,25,2020,3
Anuradhapura,25,2020,3
Badulla,25,2020,13
Batticaloa,25,2020,20
Colombo,25,2020,92
Galle,25,2020,18
Gampaha,25,2020,38
Hambantota,25,2020,6
Jaffna,25,2020,7
Kalmunai,25,2020,0
Kalutara,25,2020,0
Kandy,25,2020,124
Kegalle,25,2020,33
Kilinochchi,25,2020,1
Kurunegala,25,2020,11
Mannar,25,2020,4
Matale,25,2020,7
Matara,25,2020,4
Monaragala,25,2020,0
Mullaitivu,25,2020,0
Nuwara Eliya,25,2020,2
Polonnaruwa,25,2020,0
Puttalam,25,2020,0
Ratnapura,25,2020,97
Trincomalee,25,2020,1
Vavuniya,25,2020,0
Ampara,26,2020,2
Anuradhapura,26,2020,2
Badulla,26,2020,8
Batticaloa,26,2020,20
Colombo,26,2020,81
Galle,26,2020,31
Gampaha,26,2020,49
Hambantota,26,2020,3
Jaffna,26,2020,10
Kalmunai,26,2020,0
Kalutara,26,2020,0
Kandy,26,2020,167
Kegalle,26,2020,22
Kilinochchi,26,2020,1
Kurunegala,26,2020,3
Mannar,26,2020,2
Matale,26,2020,9
Matara,26,2020,18
Monaragala,26,2020,0
Mullaitivu,26,2020,0
Nuwara Eliya,26,2020,4
Polonnaruwa,26,2020,0
Puttalam,26,2020,0
Ratnapura,26,2020,98
Trincomalee,26,2020,3
Vavuniya,26,2020,0
Ampara,27,2020,1
Anuradhapura,27,2020,4
Badulla,27,2020,9
Batticaloa,27,2020,19
Colombo,27,2020,61
Galle,27,2020,31
Gampaha,27,2020,52
Hambantota,27,2020,3
Jaffna,27,2020,9
Kalmunai,27,2020,0
Kalutara,27,2020,0
Kandy,27,2020,136
Kegalle,27,2020,17
Kilinochchi,27,2020,0
Kurunegala,27,2020,9
Mannar,27,2020,1
Matale,27,2020,10
Matara,27,2020,5
Monaragala,27,2020,0
Mullaitivu,27,2020,2
Nuwara Eliya,27,2020,0
Polonnaruwa,27,2020,0
Puttalam,27,2020,0
Ratnapura,27,2020,91
Trincomalee,27,2020,4
Vavuniya,27,2020,1
Ampara,28,2020,0
Anuradhapura,28,2020,1
Badulla,28,2020,8
Batticaloa,28,2020,15
Colombo,28,2020,82
Galle,28,2020,30
Gampaha,28,2020,41
Hambantota,28,2020,9
Jaffna,28,2020,12
Kalmunai,28,2020,0
Kalutara,28,2020,0
Kandy,28,2020,149
Kegalle,28,2020,18
Kilinochchi,28,2020,0
Kurunegala,28,2020,9
Mannar,28,2020,2
Matale,28,2020,11
Matara,28,2020,14
Monaragala,28,2020,0
Mullaitivu,28,2020,0
Nuwara Eliya,28,2020,3
Polonnaruwa,28,2020,0
Puttalam,28,2020,0
Ratnapura,28,2020,68
Trincomalee,28,2020,5
Vavuniya,28,2020,0
Ampara,29,2020,2
Anuradhapura,29,2020,4
Badulla,29,2020,7
Batticaloa,29,2020,20
Colombo,29,2020,99
Galle,29,2020,18
Gampaha,29,2020,45
Hambantota,29,2020,9
Jaffna,29,2020,6
Kalmunai,29,2020,0
Kalutara,29,2020,0
Kandy,29,2020,157
Kegalle,29,2020,29
Kilinochchi,29,2020,3
Kurunegala,29,2020,10
Mannar,29,2020,0
Matale,29,2020,8
Matara,29,2020,5
Monaragala,29,2020,0
Mullaitivu,29,2020,0
Nuwara Eliya,29,2020,3
Polonnaruwa,29,2020,0
Puttalam,29,2020,0
Ratnapura,29,2020,80
Trincomalee,29,2020,3
Vavuniya,29,2020,6
Ampara,30,2020,1
Anuradhapura,30,2020,3
Badulla,30,2020,3
Batticaloa,30,2020,8
Colombo,30,2020,84
Galle,30,2020,8
Gampaha,30,2020,33
Hambantota,30,2020,0
Jaffna,30,2020,11
Kalmunai,30,2020,0
Kalutara,30,2020,0
Kandy,30,2020,127
Kegalle,30,2020,25
Kilinochchi,30,2020,1
Kurunegala,30,2020,17
Mannar,30,2020,1
Matale,30,2020,7
Matara,30,2020,8
Monaragala,30,2020,0
Mullaitivu,30,2020,0
Nuwara Eliya,30,2020,1
Polonnaruwa,30,2020,0
Puttalam,30,2020,0
Ratnapura,30,2020,50
Trincomalee,30,2020,1
Vavuniya,30,2020,0
Ampara,31,2020,0
Anuradhapura,31,2020,4
Badulla,31,2020,6
Batticaloa,31,2020,19
Colombo,31,2020,66
Galle,31,2020,14
Gampaha,31,2020,44
Hambantota,31,2020,2
Jaffna,31,2020,7
Kalmunai,31,2020,0
Kalutara,31,2020,0
Kandy,31,2020,132
Kegalle,31,2020,11
Kilinochchi,31,2020,0
Kurunegala,31,2020,7
Mannar,31,2020,2
Matale,31,2020,5
Matara,31,2020,8
Monaragala,31,2020,0
Mullaitivu,31,2020,0
Nuwara Eliya,31,2020,2
Polonnaruwa,31,2020,1
Puttalam,31,2020,0
Ratnapura,31,2020,57
